lga_code,lga_name,longitude,latitude,pop_65_plus,percent_65_plus
17850,Walcha,151.784536,-31.163879,911,30.5
17900,Walgett,148.194468,-29.81666,1262,23.0
17950,Warren,147.679855,-31.325641,644,24.8
18020,Warrumbungle,149.405396,-31.462794,2703,29.3
18050,Waverley,151.266865,-33.890038,8955,12.3
18100,Weddin,148.011263,-33.871893,1117,31.0
18200,Wentworth,142.242911,-33.570188,1711,21.9
18250,Willoughby,151.196343,-33.80108,12353,15.5
18350,Wingecarribee,150.356258,-34.476912,15120,28.2
18400,Wollondilly,150.443786,-34.101915,9074,15.2
18450,Wollongong,150.837107,-34.368797,41065,18.5
18500,Woollahra,151.257412,-33.871679,11113,20.1
18710,Yass Valley,148.885,-34.954163,3333,18.9
19399,Unincorporated NSW,142.211451,-30.656753,193,19.6
20110,Alpine,146.976096,-36.854408,3628,27.5
20260,Ararat,142.843207,-37.472682,2965,25.4
20570,Ballarat,143.781476,-37.49284,22883,18.9
20660,Banyule,145.085135,-37.730425,24705,18.7
20740,Bass Coast,145.599731,-38.509497,13452,30.9
20830,Baw Baw,146.131641,-37.983831,13615,22.0
20910,Bayside (Vic.),145.018109,-37.941823,22811,21.5
21010,Benalla,146.02376,-36.586993,4467,30.5
21110,Boroondara,145.063128,-37.819291,32084,18.0
21180,Brimbank,144.803316,-37.74749,33801,17.1
21270,Buloke,143.004851,-35.912447,1833,30.8
21370,Campaspe,144.716414,-36.345151,9914,26.0
21450,Cardinia,145.572709,-38.083013,16602,12.7
21610,Casey,145.309027,-38.104303,44826,11.1
21670,Central Goldfields,143.713842,-37.007154,4310,31.5
21750,Colac Otway,143.59518,-38.451932,5597,25.1
21830,Corangamite,143.19863,-38.204337,4207,26.5
21890,Darebin,145.014363,-37.733415,22341,14.0
22110,East Gippsland,148.291697,-37.378021,15922,32.2
22170,Frankston,145.173804,-38.134594,24235,16.8
22250,Gannawarra,143.80397,-35.751515,3307,31.8
22310,Glen Eira,145.042593,-37.901163,25389,15.8
