lga_code,lga_name,state,total_population,pop_65_74,pop_75_84,pop_85_plus,pop_65_plus,percent_65_plus,median_age,year
15560,Murrumbidgee,New South Wales,3658,500,242,109,851,23.3,44.0,2024
15650,Muswellbrook,New South Wales,16817,1476,873,296,2645,15.7,37.3,2024
15700,Nambucca Valley,New South Wales,20986,3563,2226,752,6541,31.2,52.4,2024
15750,Narrabri,New South Wales,12796,1442,868,312,2622,20.5,40.5,2024
15800,Narrandera,New South Wales,5687,694,486,189,1369,24.1,43.7,2024
15850,Narromine,New South Wales,6432,725,536,182,1443,22.4,40.9,2024
15900,Newcastle,New South Wales,176860,15619,9516,4007,29142,16.5,36.6,2024
15950,North Sydney,New South Wales,72909,6377,4561,1533,12471,17.1,38.2,2024
15990,Northern Beaches,New South Wales,270772,23629,17957,7632,49218,18.2,41.4,2024
16100,Oberon,New South Wales,5604,805,486,140,1431,25.5,47.5,2024
16150,Orange,New South Wales,44610,4138,2838,1046,8022,18.0,37.1,2024
16200,Parkes,New South Wales,14236,1598,1025,411,3034,21.3,40.7,2024
16260,Parramatta,New South Wales,274956,19187,11396,4395,34978,12.7,35.5,2024
16350,Penrith,New South Wales,228661,17973,9954,3073,31000,13.6,35.5,2024
16380,Port Macquarie-Hastings,New South Wales,90835,13332,9884,3507,26723,29.4,49.1,2024
16400,Port Stephens,New South Wales,78906,11202,7812,2314,21328,27.0,47.2,2024
16490,Queanbeyan-Palerang,New South Wales,66855,5444,2837,876,9157,13.7,38.0,2024
16550,Randwick,New South Wales,144598,10293,7270,3238,20801,14.4,34.8,2024
16610,Richmond Valley,New South Wales,23892,3332,2042,773,6147,25.7,46.1,2024
16700,Ryde,New South Wales,139047,10880,6352,3246,20478,14.7,36.3,2024
16900,Shellharbour,New South Wales,81566,8326,5054,1735,15115,18.5,38.9,2024
16950,Shoalhaven,New South Wales,110803,17074,11052,3655,31781,28.7,48.4,2024
17000,Singleton,New South Wales,25639,2344,1290,364,3998,15.6,37.7,2024
17040,Snowy Monaro,New South Wales,22292,2513,1501,521,4535,20.3,42.6,2024
17080,Snowy Valleys,New South Wales,14955,2006,1279,377,3662,24.5,45.6,2024
17100,Strathfield,New South Wales,48495,3119,1724,852,5695,11.7,32.8,2024
17150,Sutherland,New South Wales,238614,23414,15705,6784,45903,19.2,41.0,2024
17200,Sydney,New South Wales,237278,12052,6997,2475,21524,9.1,33.0,2024
17310,Tamworth,New South Wales,65908,6820,4596,1696,13112,19.9,38.6,2024
17350,Temora,New South Wales,6023,837,589,242,1668,27.7,47.7,2024
17400,Tenterfield,New South Wales,7081,1449,754,221,2424,34.2,55.7,2024
17420,The Hills,New South Wales,215612,17534,10505,3341,31380,14.6,38.8,2024
17550,Tweed,New South Wales,99793,13860,9203,3888,26951,27.0,47.2,2024
17620,Upper Hunter,New South Wales,14408,1735,1027,425,3187,22.1,42.5,2024
17640,Upper Lachlan,New South Wales,8875,1253,788,245,2286,25.8,49.7,2024
17650,Uralla,New South Wales,6096,792,482,128,1402,23.0,46.1,2024
17750,Wagga Wagga,New South Wales,68951,6274,3839,1605,11718,17.0,35.3,2024
17850,Walcha,New South Wales,2990,473,318,120,911,30.5,51.4,2024
17900,Walgett,New South Wales,5497,761,403,98,1262,23.0,44.4,2024
17950,Warren,New South Wales,2593,308,210,126,644,24.8,44.8,2024
18020,Warrumbungle,New South Wales,9239,1394,941,368,2703,29.3,50.2,2024
18050,Waverley,New South Wales,72857,4282,3180,1493,8955,12.3,34.8,2024
18100,Weddin,New South Wales,3608,571,378,168,1117,31.0,52.0,2024
18200,Wentworth,New South Wales,7804,945,614,152,1711,21.9,42.9,2024
18250,Willoughby,New South Wales,79634,6301,4119,1933,12353,15.5,38.8,2024
18350,Wingecarribee,New South Wales,53552,7337,5911,1872,15120,28.2,48.6,2024
18400,Wollondilly,New South Wales,59782,5225,2940,909,9074,15.2,36.6,2024
18450,Wollongong,New South Wales,221894,21020,14094,5951,41065,18.5,38.6,2024
18500,Woollahra,New South Wales,55175,4952,4337,1824,11113,20.1,39.4,2024
18710,Yass Valley,New South Wales,17647,1895,1064,374,3333,18.9,43.0,2024
19399,Unincorporated NSW,New South Wales,984,116,62,15,193,19.6,45.2,2024
20110,Alpine,Victoria,13199,1987,1207,434,3628,27.5,49.0,2024
20260,Ararat,Victoria,11686,1619,997,349,2965,25.4,46.9,2024
20570,Ballarat,Victoria,121050,12266,7737,2880,22883,18.9,38.5,2024
20660,Banyule,Victoria,131931,12607,8688,3410,24705,18.7,40.3,2024
20740,Bass Coast,Victoria,43557,7717,4425,1310,13452,30.9,51.9,2024
20830,Baw Baw,Victoria,61905,7481,4609,1525,13615,22.0,41.2,2024
20910,Bayside (Vic.),Victoria,106118,11325,8017,3469,22811,21.5,45.4,2024
21010,Benalla,Victoria,14635,2356,1530,581,4467,30.5,52.0,2024
21110,Boroondara,Victoria,178008,16093,10978,5013,32084,18.0,39.3,2024
21180,Brimbank,Victoria,198152,18700,11075,4026,33801,17.1,38.0,2024
21270,Buloke,Victoria,5956,961,596,276,1833,30.8,53.6,2024
21370,Campaspe,Victoria,38153,5218,3381,1315,9914,26.0,47.5,2024
21450,Cardinia,Victoria,130383,9135,5692,1775,16602,12.7,35.1,2024
21610,Casey,Victoria,405415,26203,13913,4710,44826,11.1,34.6,2024
21670,Central Goldfields,Victoria,13704,2189,1554,567,4310,31.5,53.0,2024
21750,Colac Otway,Victoria,22300,3020,1926,651,5597,25.1,45.6,2024
21830,Corangamite,Victoria,15846,2238,1412,557,4207,26.5,48.6,2024
21890,Darebin,Victoria,159963,10934,7415,3992,22341,14.0,36.6,2024
22110,East Gippsland,Victoria,49422,8599,5694,1629,15922,32.2,52.8,2024
22170,Frankston,Victoria,144615,12997,8180,3058,24235,16.8,39.3,2024
22250,Gannawarra,Victoria,10404,1746,1147,414,3307,31.8,53.1,2024
22310,Glen Eira,Victoria,161057,12986,8407,3996,25389,15.8,37.4,2024
22410,Glenelg,Victoria,20007,3145,1748,629,5522,27.6,50.3,2024
22490,Golden Plains,Victoria,26337,2777,1275,307,4359,16.6,40.0,2024
22620,Greater Bendigo,Victoria,125805,13950,8541,3136,25627,20.4,40.2,2024
22670,Greater Dandenong,Victoria,167298,13935,8727,3554,26216,15.7,36.0,2024
22750,Greater Geelong,Victoria,289565,30687,19394,6996,57077,19.7,39.3,2024
22830,Greater Shepparton,Victoria,69874,7321,4741,1804,13866,19.8,39.8,2024
22910,Hepburn,Victoria,16824,2960,1577,465,5002,29.7,53.4,2024
22980,Hindmarsh,Victoria,5464,821,528,247,1596,29.2,51.5,2024
23110,Hobsons Bay,Victoria,95633,8379,4997,2307,15683,16.4,39.9,2024
23190,Horsham,Victoria,20376,2286,1540,677,4503,22.1,41.1,2024
23270,Hume,Victoria,271709,17569,9344,2775,29688,10.9,34.1,2024
23350,Indigo,Victoria,17788,2546,1428,440,4414,24.8,48.1,2024
23430,Kingston (Vic.),Victoria,166521,15684,10598,4657,30939,18.6,41.1,2024
23670,Knox,Victoria,163302,16236,9976,3871,30083,18.4,40.9,2024
23810,Latrobe (Vic.),Victoria,78845,9461,5651,1935,17047,21.6,41.6,2024
23940,Loddon,Victoria,7755,1322,767,321,2410,31.1,53.3,2024
24130,Macedon Ranges,Victoria,53738,6041,3811,1003,10855,20.2,43.8,2024
24210,Manningham,Victoria,131761,13094,10430,5109,28633,21.7,42.7,2024
24250,Mansfield,Victoria,10782,1738,951,294,2983,27.7,49.3,2024
24330,Maribyrnong,Victoria,94251,5813,2845,1345,10003,10.6,35.1,2024
24410,Maroondah,Victoria,119354,10904,7296,3046,21246,17.8,39.8,2024
24600,Melbourne,Victoria,189381,6467,3956,1358,11781,6.2,29.3,2024
24650,Melton,Victoria,219697,12116,5646,1504,19266,8.8,33.4,2024
24700,Merri-bek,Victoria,186534,10990,7285,4647,22922,12.3,35.0,2024
24780,Mildura,Victoria,57626,6199,3887,1580,11666,20.2,40.1,2024
24850,Mitchell,Victoria,56384,4775,2727,788,8290,14.7,36.3,2024
24900,Moira,Victoria,30836,4615,3082,1121,8818,28.6,48.8,2024
24970,Monash,Victoria,209268,15954,12419,6424,34797,16.6,36.0,2024
25060,Moonee Valley,Victoria,129732,11200,7411,3543,22154,17.1,38.9,2024
25150,Moorabool,Victoria,39814,3939,2396,625,6960,17.5,39.7,2024
25340,Mornington Peninsula,Victoria,171450,23872,18182,6464,48518,28.3,49.0,2024
25430,Mount Alexander,Victoria,20799,3497,2043,719,6259,30.1,51.8,2024
25490,Moyne,Victoria,17717,2402,1278,402,4082,23.0,44.6,2024
25620,Murrindindi,Victoria,15603,2480,1475,363,4318,27.7,51.3,2024
25710,Nillumbik,Victoria,63693,7030,3547,998,11575,18.2,43.1,2024
25810,Northern Grampians,Victoria,11808,1751,1135,391,3277,27.8,49.4,2024
25900,Port Phillip,Victoria,112669,8375,5090,1808,15273,13.6,37.5,2024
25990,Pyrenees,Victoria,7958,1276,765,200,2241,28.2,50.9,2024
26080,Queenscliffe,Victoria,3302,802,577,248,1627,49.3,64.5,2024
26170,South Gippsland,Victoria,31022,4734,2999,939,8672,28.0,49.9,2024
26260,Southern Grampians,Victoria,16525,2343,1525,587,4455,27.0,47.2,2024
26350,Stonnington,Victoria,114038,8638,6830,2993,18461,16.2,35.5,2024
26430,Strathbogie,Victoria,11739,2175,1253,415,3843,32.7,53.9,2024
26490,Surf Coast,Victoria,39928,4897,2667,799,8363,20.9,43.0,2024
26610,Swan Hill,Victoria,21094,2249,1361,565,4175,19.8,39.2,2024
26670,Towong,Victoria,6237,1045,613,230,1888,30.3,52.8,2024
26700,Wangaratta,Victoria,30169,3894,2616,1001,7511,24.9,45.8,2024
26730,Warrnambool,Victoria,36150,4159,2709,1024,7892,21.8,42.0,2024
26810,Wellington,Victoria,46533,6650,3678,1100,11428,24.6,45.4,2024
26890,West Wimmera,Victoria,3913,603,343,182,1128,28.8,50.6,2024
26980,Whitehorse,Victoria,183462,15508,11251,5636,32395,17.7,38.3,2024
27070,Whittlesea,Victoria,253204,18178,10572,3703,32453,12.8,35.7,2024
27170,Wodonga,Victoria,44824,4559,2728,968,8255,18.4,38.4,2024
27260,Wyndham,Victoria,337009,16039,7619,2095,25753,7.6,33.3,2024
27350,Yarra,Victoria,100706,6189,3774,1401,11364,11.3,34.1,2024
27450,Yarra Ranges,Victoria,160137,16418,10078,2988,29484,18.4,40.5,2024
27630,Yarriambiack,Victoria,6346,1025,640,267,1932,30.4,53.0,2024
29399,Unincorporated Vic,Victoria,964,89,18,9,116,12.0,33.3,2024
30250,Aurukun,Queensland,1163,51,19,1,71,6.1,29.1,2024
30300,Balonne,Queensland,4356,438,227,88,753,17.3,39.5,2024
30370,Banana,Queensland,15053,1386,815,309,2510,16.7,38.9,2024
30410,Barcaldine,Queensland,2917,320,210,58,588,20.2,42.8,2024
30450,Barcoo,Queensland,317,16,22,3,41,12.9,39.6,2024
30760,Blackall Tambo,Queensland,1969,287,161,67,515,26.2,46.1,2024
30900,Boulia,Queensland,479,51,27,3,81,16.9,38.1,2024
31000,Brisbane,Queensland,1355640,95302,60203,23882,179387,13.2,35.7,2024
31750,Bulloo,Queensland,347,30,21,8,59,17.0,37.8,2024
31820,Bundaberg,Queensland,106146,15170,10027,3127,28324,26.7,47.5,2024
31900,Burdekin,Queensland,17204,2253,1427,573,4253,24.7,45.9,2024
31950,Burke,Queensland,444,52,16,2,70,15.8,38.5,2024
32080,Cairns,Queensland,178104,17045,9244,2718,29007,16.3,39.5,2024
32250,Carpentaria,Queensland,2229,193,84,4,281,12.6,33.8,2024
32260,Cassowary Coast,Queensland,30390,4303,2358,747,7408,24.4,46.5,2024
32270,Central Highlands (Qld),Queensland,29336,1988,935,236,3159,10.8,34.5,2024
