lga_code,lga_name,state,total_population,pop_65_74,pop_75_84,pop_85_plus,pop_65_plus,percent_65_plus,median_age,year
48130,Wakefield,South Australia,6985,951,493,176,1620,23.2,45.0,2024
48260,Walkerville,South Australia,8562,979,701,328,2008,23.5,43.1,2024
48340,Wattle Range,South Australia,12319,1877,1008,339,3224,26.2,49.0,2024
48410,West Torrens,South Australia,65738,5330,3757,2314,11401,17.3,37.3,2024
48540,Whyalla,South Australia,21864,2239,1493,520,4252,19.4,41.2,2024
48640,Wudinna,South Australia,1168,142,81,38,261,22.3,45.4,2024
48750,Yankalilla,South Australia,6186,1268,741,181,2190,35.4,56.7,2024
48830,Yorke Peninsula,South Australia,12150,2394,1643,442,4479,36.9,57.8,2024
49399,Unincorporated SA,South Australia,3010,355,133,25,513,17.0,43.9,2024
50080,Albany,Western Australia,41545,5350,3362,1309,10021,24.1,44.6,2024
50210,Armadale,Western Australia,109218,7541,4173,1268,12982,11.9,35.1,2024
50250,Ashburton,Western Australia,8179,272,59,4,335,4.1,34.8,2024
50280,Augusta Margaret River,Western Australia,19410,2257,1048,330,3635,18.7,42.5,2024
50350,Bassendean,Western Australia,17145,1668,1027,370,3065,17.9,40.3,2024
50420,Bayswater,Western Australia,75981,6566,4412,1756,12734,16.8,38.0,2024
50490,Belmont,Western Australia,47377,3615,2073,886,6574,13.9,35.9,2024
50560,Beverley,Western Australia,1795,350,188,72,610,34.0,54.6,2024
50630,Boddington,Western Australia,1808,190,133,28,351,19.4,42.7,2024
50770,Boyup Brook,Western Australia,1959,276,169,44,489,25.0,47.5,2024
50840,Bridgetown-Greenbushes,Western Australia,5797,977,523,137,1637,28.2,51.5,2024
50910,Brookton,Western Australia,962,115,93,41,249,25.9,51.7,2024
50980,Broome,Western Australia,18870,1102,367,75,1544,8.2,34.1,2024
51080,Broomehill-Tambellup,Western Australia,1101,109,50,22,181,16.4,41.6,2024
51120,Bruce Rock,Western Australia,1066,153,86,46,285,26.7,45.1,2024
51190,Bunbury,Western Australia,35174,4079,2576,928,7583,21.6,42.5,2024
51260,Busselton,Western Australia,45003,5909,3804,1250,10963,24.4,45.2,2024
51310,Cambridge,Western Australia,32006,2915,1782,1017,5714,17.9,40.5,2024
51330,Canning,Western Australia,106944,8346,5010,1863,15219,14.2,35.3,2024
51400,Capel,Western Australia,19701,1897,989,183,3069,15.6,39.6,2024
51470,Carnamah,Western Australia,586,92,63,10,165,28.2,50.5,2024
51540,Carnarvon,Western Australia,5599,636,279,71,986,17.6,39.9,2024
51610,Chapman Valley,Western Australia,1698,192,103,23,318,18.7,44.0,2024
51680,Chittering,Western Australia,6753,692,383,110,1185,17.5,44.1,2024
51710,Christmas Island,Other Territories,1865,205,51,7,263,14.1,39.1,2024
51750,Claremont,Western Australia,12671,1257,1154,574,2985,23.6,42.0,2024
51820,Cockburn,Western Australia,135149,10478,5881,2101,18460,13.7,37.0,2024
51860,Cocos Islands,Other Territories,625,82,40,6,128,20.5,41.3,2024
51890,Collie,Western Australia,9408,1294,722,212,2228,23.7,45.3,2024
51960,Coolgardie,Western Australia,3779,379,124,22,525,13.9,39.9,2024
52030,Coorow,Western Australia,1125,226,123,23,372,33.1,56.0,2024
52100,Corrigin,Western Australia,1039,169,82,39,290,27.9,45.5,2024
52170,Cottesloe,Western Australia,8967,984,737,265,1986,22.1,42.3,2024
52240,Cranbrook,Western Australia,1152,152,104,35,291,25.3,46.2,2024
52310,Cuballing,Western Australia,955,166,89,19,274,28.7,51.9,2024
52380,Cue,Western Australia,229,53,17,1,71,31.0,51.9,2024
52450,Cunderdin,Western Australia,1316,152,79,23,254,19.3,38.5,2024
52520,Dalwallinu,Western Australia,1466,167,55,34,256,17.5,40.8,2024
52590,Dandaragan,Western Australia,3921,670,336,87,1093,27.9,50.3,2024
52660,Dardanup,Western Australia,15930,1635,1011,380,3026,19.0,39.7,2024
52730,Denmark,Western Australia,6707,1042,681,188,1911,28.5,50.7,2024
52800,Derby-West Kimberley,Western Australia,8536,512,167,46,725,8.5,32.3,2024
52870,Donnybrook-Balingup,Western Australia,6584,1018,545,136,1699,25.8,49.2,2024
52940,Dowerin,Western Australia,740,111,60,13,184,24.9,45.7,2024
53010,Dumbleyung,Western Australia,708,99,42,10,151,21.3,42.0,2024
53080,Dundas,Western Australia,723,107,57,10,174,24.1,48.8,2024
53150,East Fremantle,Western Australia,8361,902,498,265,1665,19.9,43.2,2024
53220,East Pilbara,Western Australia,10403,341,52,28,421,4.0,36.1,2024
53290,Esperance,Western Australia,14558,1509,1093,366,2968,20.4,42.0,2024
53360,Exmouth,Western Australia,3566,255,131,29,415,11.6,36.2,2024
53430,Fremantle,Western Australia,36349,3775,2295,885,6955,19.1,40.7,2024
53570,Gingin,Western Australia,6348,993,563,128,1684,26.5,49.8,2024
53640,Gnowangerup,Western Australia,1271,149,54,6,209,16.4,38.1,2024
53710,Goomalling,Western Australia,992,149,84,14,247,24.9,48.2,2024
53780,Gosnells,Western Australia,141279,10735,6326,2145,19206,13.6,36.2,2024
53800,Greater Geraldton,Western Australia,42322,4340,2486,942,7768,18.4,40.1,2024
53920,Halls Creek,Western Australia,4213,187,81,9,277,6.6,29.4,2024
53990,Harvey,Western Australia,31495,3439,1986,578,6003,19.1,40.7,2024
54060,Irwin,Western Australia,3864,735,411,111,1257,32.5,53.9,2024
54130,Jerramungup,Western Australia,1217,149,48,25,222,18.2,40.9,2024
54170,Joondalup,Western Australia,173469,18751,10396,3279,32426,18.7,41.2,2024
54200,Kalamunda,Western Australia,63827,6232,4290,1670,12192,19.1,40.7,2024
54280,Kalgoorlie-Boulder,Western Australia,30991,1921,841,230,2992,9.7,34.4,2024
54310,Karratha,Western Australia,24716,706,137,28,871,3.5,33.1,2024
54340,Katanning,Western Australia,4294,443,281,77,801,18.7,38.8,2024
54410,Kellerberrin,Western Australia,1159,167,100,47,314,27.1,51.7,2024
54480,Kent,Western Australia,526,46,22,4,72,13.7,40.8,2024
54550,Kojonup,Western Australia,1965,249,166,48,463,23.6,46.1,2024
54620,Kondinin,Western Australia,862,102,62,17,181,21.0,44.5,2024
54690,Koorda,Western Australia,373,62,34,10,106,28.4,52.4,2024
54760,Kulin,Western Australia,800,92,67,15,174,21.8,45.1,2024
54830,Kwinana,Western Australia,54672,3073,1601,511,5185,9.5,33.8,2024
54900,Lake Grace,Western Australia,1319,157,63,32,252,19.1,42.3,2024
54970,Laverton,Western Australia,1444,86,17,5,108,7.5,39.4,2024
55040,Leonora,Western Australia,1737,121,21,3,145,8.3,34.6,2024
55110,Mandurah,Western Australia,102922,13371,9681,3291,26343,25.6,44.8,2024
55180,Manjimup,Western Australia,9523,1287,731,236,2254,23.7,47.9,2024
55250,Meekatharra,Western Australia,1286,87,42,1,130,10.1,35.6,2024
55320,Melville,Western Australia,113404,12154,7868,3594,23616,20.8,41.5,2024
55390,Menzies,Western Australia,577,53,11,2,66,11.4,38.8,2024
55460,Merredin,Western Australia,3335,395,190,93,678,20.3,39.4,2024
55530,Mingenew,Western Australia,421,60,29,13,102,24.2,49.3,2024
55600,Moora,Western Australia,2432,288,169,61,518,21.3,44.9,2024
55670,Morawa,Western Australia,686,121,33,15,169,24.6,42.1,2024
55740,Mosman Park,Western Australia,10281,1011,680,253,1944,18.9,40.5,2024
55810,Mount Magnet,Western Australia,696,77,34,4,115,16.5,43.0,2024
55880,Mount Marshall,Western Australia,466,52,22,11,85,18.2,47.0,2024
55950,Mukinbudin,Western Australia,603,80,46,23,149,24.7,45.6,2024
56090,Mundaring,Western Australia,42327,4840,2956,962,8758,20.7,43.6,2024
56160,Murchison,Western Australia,105,12,0,0,12,11.4,42.5,2024
56230,Murray,Western Australia,20563,2652,1850,569,5071,24.7,45.1,2024
56300,Nannup,Western Australia,1675,338,179,43,560,33.4,54.3,2024
56370,Narembeen,Western Australia,848,105,68,46,219,25.8,42.3,2024
56460,Narrogin,Western Australia,5029,635,347,132,1114,22.2,42.3,2024
56580,Nedlands,Western Australia,25104,2479,1786,708,4973,19.8,39.9,2024
56620,Ngaanyatjarraku,Western Australia,1482,85,24,1,110,7.4,31.8,2024
56730,Northam,Western Australia,12416,1523,856,242,2621,21.1,42.7,2024
56790,Northampton,Western Australia,3382,651,328,104,1083,32.0,54.1,2024
56860,Nungarin,Western Australia,258,48,13,6,67,26.0,50.6,2024
56930,Peppermint Grove,Western Australia,1782,195,130,53,378,21.2,38.9,2024
57000,Perenjori,Western Australia,659,67,30,24,121,18.4,46.0,2024
57080,Perth,Western Australia,34624,2001,1312,414,3727,10.8,32.9,2024
57140,Pingelly,Western Australia,1091,189,105,34,328,30.1,52.3,2024
57210,Plantagenet,Western Australia,5734,893,437,133,1463,25.5,49.5,2024
57280,Port Hedland,Western Australia,17448,591,131,33,755,4.3,33.0,2024
57350,Quairading,Western Australia,967,175,90,34,299,30.9,54.0,2024
57420,Ravensthorpe,Western Australia,2280,267,138,42,447,19.6,42.3,2024
57490,Rockingham,Western Australia,154132,12129,7478,2376,21983,14.3,36.5,2024
57630,Sandstone,Western Australia,115,21,13,2,36,31.3,51.8,2024
57700,Serpentine-Jarrahdale,Western Australia,38631,2442,1251,305,3998,10.3,33.9,2024
57770,Shark Bay,Western Australia,1164,130,80,22,232,19.9,42.5,2024
57840,South Perth,Western Australia,47909,4862,3001,1187,9050,18.9,38.4,2024
57910,Stirling,Western Australia,249872,20964,14298,6618,41880,16.8,37.9,2024
57980,Subiaco,Western Australia,19452,1927,1453,549,3929,20.2,39.4,2024
58050,Swan,Western Australia,179207,12365,6522,2130,21017,11.7,35.2,2024
58190,Tammin,Western Australia,401,42,30,14,86,21.4,46.7,2024
58260,Three Springs,Western Australia,600,64,40,10,114,19.0,41.1,2024
58330,Toodyay,Western Australia,5081,893,431,109,1433,28.2,53.9,2024
58400,Trayning,Western Australia,306,50,28,14,92,30.1,56.0,2024
58470,Upper Gascoyne,Western Australia,201,12,10,2,24,11.9,35.0,2024
58510,Victoria Park,Western Australia,42352,2958,1896,906,5760,13.6,35.0,2024
58540,Victoria Plains,Western Australia,834,96,80,13,189,22.7,46.0,2024
58570,Vincent,Western Australia,41479,2822,1355,601,4778,11.5,35.6,2024
58610,Wagin,Western Australia,1825,294,167,62,523,28.7,49.3,2024
58680,Wandering,Western Australia,547,68,55,11,134,24.5,51.6,2024
58760,Wanneroo,Western Australia,237628,16623,9658,3081,29362,12.4,35.8,2024
58820,Waroona,Western Australia,4537,635,349,125,1109,24.4,48.5,2024
58890,West Arthur,Western Australia,789,128,69,11,208,26.4,50.5,2024
59030,Westonia,Western Australia,246,43,25,7,75,30.5,47.0,2024
59100,Wickepin,Western Australia,710,82,49,16,147,20.7,40.8,2024
59170,Williams,Western Australia,1063,149,68,29,246,23.1,41.9,2024
59250,Wiluna,Western Australia,563,28,19,5,52,9.2,37.6,2024
59310,Wongan-Ballidu,Western Australia,1343,189,93,38,320,23.8,45.6,2024
59320,Woodanilling,Western Australia,490,66,35,14,115,23.5,44.2,2024
59330,Wyalkatchem,Western Australia,492,68,59,14,141,28.7,51.4,2024
59340,Wyndham-East Kimberley,Western Australia,8315,516,154,32,702,8.4,33.7,2024
59350,Yalgoo,Western Australia,353,34,13,8,55,15.6,37.6,2024
59360,Yilgarn,Western Australia,1212,141,54,29,224,18.5,49.0,2024
59370,York,Western Australia,3649,666,456,126,1248,34.2,56.9,2024
60210,Break O`Day,Tasmania,7163,1463,770,198,2431,33.9,56.5,2024
60410,Brighton,Tasmania,20284,1837,962,190,2989,14.7,34.9,2024
60610,Burnie,Tasmania,20417,2182,1333,483,3998,19.6,40.4,2024
60810,Central Coast (Tas.),Tasmania,23350,3298,2114,717,6129,26.2,48.4,2024
61010,Central Highlands (Tas.),Tasmania,2588,481,211,38,730,28.2,52.7,2024
61210,Circular Head,Tasmania,8315,1019,542,184,1745,21.0,42.0,2024
61410,Clarence,Tasmania,63973,7129,4782,1818,13729,21.5,41.1,2024
61510,Derwent Valley,Tasmania,11436,1322,740,208,2270,19.8,42.4,2024
61610,Devonport,Tasmania,27030,3215,2276,767,6258,23.2,43.0,2024
61810,Dorset,Tasmania,7013,1105,572,257,1934,27.6,49.0,2024
62010,Flinders (Tas.),Tasmania,941,191,147,18,356,37.8,58.3,2024
62210,George Town,Tasmania,7378,1127,677,199,2003,27.1,49.4,2024
62410,Glamorgan-Spring Bay,Tasmania,5283,1095,664,187,1946,36.8,58.0,2024
62610,Glenorchy,Tasmania,50743,4735,3037,1286,9058,17.9,37.6,2024
62810,Hobart,Tasmania,55977,5636,3428,1329,10393,18.6,37.9,2024
63010,Huon Valley,Tasmania,19742,2706,1494,423,4623,23.4,46.4,2024
63210,Kentish,Tasmania,6859,988,556,135,1679,24.5,50.0,2024
63410,King Island,Tasmania,1660,223,131,41,395,23.8,44.2,2024
63610,Kingborough,Tasmania,41574,4855,3157,954,8966,21.6,42.5,2024
63810,Latrobe (Tas.),Tasmania,13158,2073,1322,385,3780,28.7,49.8,2024
64010,Launceston,Tasmania,71616,7053,4821,1782,13656,19.1,39.1,2024
64210,Meander Valley,Tasmania,21579,2930,1892,612,5434,25.2,46.7,2024
64610,Northern Midlands,Tasmania,14428,1958,1229,369,3556,24.6,45.8,2024
64810,Sorell,Tasmania,17919,2278,1163,361,3802,21.2,42.5,2024
65010,Southern Midlands,Tasmania,6973,893,441,115,1449,20.8,44.1,2024
65210,Tasman,Tasmania,2722,588,310,63,961,35.3,58.2,2024
65410,Waratah-Wynyard,Tasmania,14905,2085,1400,427,3912,26.2,48.4,2024
65610,West Coast,Tasmania,4339,651,308,74,1033,23.8,48.4,2024
65810,West Tamar,Tasmania,26131,3632,2208,620,6460,24.7,46.1,2024
70200,Alice Springs,Northern Territory,29693,2004,723,238,2965,10.0,34.8,2024
70420,Barkly,Northern Territory,7288,422,121,21,564,7.7,30.4,2024
70540,Belyuen,Northern Territory,167,8,3,0,11,6.6,30.6,2024
70620,Central Desert,Northern Territory,4128,203,65,17,285,6.9,29.5,2024
70700,Coomalie,Northern Territory,1410,249,115,8,372,26.4,51.7,2024
71000,Darwin,Northern Territory,86070,6106,3209,771,10086,11.7,35.1,2024
71150,Darwin Waterfront Precinct,Northern Territory,309,30,7,0,37,12.0,33.0,2024
71300,East Arnhem,Northern Territory,10040,391,69,12,472,4.7,29.4,2024
72200,Katherine,Northern Territory,10857,675,303,61,1039,9.6,33.4,2024
72300,Litchfield,Northern Territory,23940,2193,898,153,3244,13.6,39.5,2024
72330,MacDonnell,Northern Territory,6769,279,81,18,378,5.6,31.6,2024
72800,Palmerston,Northern Territory,41598,1903,773,152,2828,6.8,32.3,2024
73600,Roper Gulf,Northern Territory,7516,378,133,25,536,7.1,30.4,2024
74050,Tiwi Islands,Northern Territory,2744,134,24,6,164,6.0,32.2,2024
74550,Victoria Daly,Northern Territory,3307,180,73,11,264,8.0,28.5,2024
74560,Wagait,Northern Territory,481,80,47,4,131,27.2,52.4,2024
74660,West Arnhem,Northern Territory,7467,247,68,3,318,4.3,30.2,2024
74680,West Daly,Northern Territory,3448,105,23,10,138,4.0,27.6,2024
79399,Unincorporated NT,Northern Territory,7837,507,166,8,681,8.7,36.0,2024
89399,Unincorporated ACT,Australian Capital Territory,473855,35096,22827,7973,65896,13.9,35.7,2024
99399,Unincorp. Other Territories,Other Territories,2504,403,227,83,713,28.5,51.4,2024
